hoja	flor	Florsenescente	Fondo
102,172,102	251,155,42	252,218,108	35,47,59
104,171,102	254,159,39	253,219,109	36,48,60
108,175,106	252,155,42	253,219,111	36,50,61
98,165,94	254,153,37	253,223,109	32,46,57
87,153,81	247,146,32	254,224,110	34,48,61
101,171,99	249,156,35	248,216,103	32,48,61
106,173,104	253,149,36	249,218,102	31,47,60
103,170,103	254,149,40	249,218,101	32,48,61
97,162,96	253,153,42	249,213,101	27,43,56
88,153,85	243,145,34	253,217,103	32,45,61
102,169,102	246,153,34	246,212,104	31,49,63
105,171,107	253,149,36	245,214,98	30,48,62
99,165,103	253,147,35	245,215,95	29,47,61
94,160,98	248,146,35	246,216,96	26,42,57
87,153,89	243,143,31	248,218,98	29,45,60
105,170,106	246,149,34	239,213,90	33,49,64
103,169,107	251,147,34	243,213,91	31,47,62
99,165,104	253,145,36	249,212,95	30,46,61
90,158,97	246,141,32	248,213,95	29,45,60
85,154,91	237,135,27	250,218,97	31,47,62
111,172,113	251,149,38	242,209,94	34,47,63
105,169,109	251,147,34	240,209,93	33,46,62
95,163,104	248,141,35	242,212,98	29,45,60
89,159,97	247,142,37	241,208,95	30,46,61
84,154,91	234,132,31	242,211,95	30,46,59
70,128,67	250,180,58	233,213,114	37,46,55
72,130,69	249,180,59	240,217,115	36,45,54
68,123,65	250,181,60	247,215,114	32,42,51
63,116,62	250,178,58	249,216,113	32,42,51
63,113,62	250,179,61	249,216,111	29,42,50
69,128,70	248,180,57	235,211,103	34,44,54
71,130,74	243,177,55	241,213,104	33,43,53
70,129,73	247,182,62	243,212,106	32,42,52
85,142,87	247,181,61	247,215,106	32,42,52
68,123,68	249,182,65	247,215,104	29,42,51
67,127,65	252,186,64	229,204,86	35,43,54
69,130,63	252,190,67	242,212,98	34,42,53
68,129,62	243,181,60	242,214,104	32,42,52
70,130,66	245,185,63	241,214,99	32,42,52
75,135,73	247,184,68	243,214,97	31,41,51
67,127,63	255,186,65	221,200,75	35,43,54
63,124,57	253,188,68	232,206,85	34,42,53
66,127,60	252,190,69	241,211,97	33,41,52
69,129,67	248,188,68	240,211,94	33,41,52
78,136,77	248,189,69	244,215,97	32,40,51
67,126,62	254,185,64	219,200,72	33,43,53
66,125,59	251,187,64	229,201,78	32,42,52
70,129,65	249,187,64	239,203,89	31,41,50
67,125,64	247,188,68	239,206,90	32,41,50
71,129,71	252,193,75	242,212,90	32,41,50
139,191,80	247,177,53	216,170,85	51,69,73
138,192,81	237,168,41	205,160,75	49,67,69
129,186,79	230,162,37	220,180,92	50,66,66
125,183,80	227,162,36	218,181,90	48,62,63
118,176,74	238,174,48	203,166,77	50,61,63
140,189,80	230,160,38	206,165,77	67,91,91
130,183,75	224,154,32	220,180,92	54,76,74
128,185,78	219,150,23	223,186,95	52,72,70
117,178,74	237,176,49	215,179,85	47,66,64
116,177,74	254,199,73	209,172,81	48,62,63
136,187,84	224,154,32	207,170,81	107,127,128
128,180,79	221,151,30	220,183,94	79,99,98
113,168,67	217,149,26	220,185,91	57,77,76
107,163,64	251,189,66	218,183,89	45,63,63
109,165,68	255,204,81	210,174,80	46,62,62
110,174,77	220,148,28	201,167,78	137,148,154
99,163,67	216,144,26	217,183,93	120,134,137
96,159,68	210,141,22	217,182,88	92,106,109
90,153,64	252,190,69	214,179,85	73,87,88
89,154,64	255,200,77	211,176,84	55,69,70
76,145,56	221,146,27	200,170,84	107,110,117
74,144,58	216,141,24	206,174,87	140,145,151
73,142,59	216,145,27	209,176,83	132,139,145
76,148,66	249,184,64	212,177,85	99,108,113
76,148,66	254,194,72	209,174,84	79,89,91
74,126,60	239,158,51	123,105,65	63,72,81
67,124,55	240,160,49	192,169,127	63,69,81
67,122,54	254,160,46	224,195,151	64,68,80
60,115,48	250,159,44	231,200,154	92,94,106
57,109,45	247,156,42	223,196,143	128,126,139
93,145,79	241,152,50	220,186,138	65,75,76
86,141,73	245,152,46	233,203,149	67,77,79
81,136,68	245,150,40	215,189,132	63,72,77
72,125,57	242,150,39	218,192,135	86,97,103
65,118,50	240,148,39	224,196,133	108,115,123
96,151,86	243,147,47	223,187,135	95,103,106
94,149,81	241,142,41	200,170,108	80,90,92
90,143,75	240,147,43	200,171,101	63,73,75
86,137,70	241,148,45	222,190,115	82,91,98
82,133,64	236,142,44	243,208,127	104,108,117
89,150,83	231,139,40	188,158,96	78,88,97
94,149,82	234,140,42	191,161,89	80,90,99
87,142,74	230,137,34	223,190,109	76,85,94
85,142,71	230,136,36	246,210,122	74,81,91
84,141,70	229,132,35	239,203,115	101,105,114
95,150,83	218,130,33	190,156,84	73,89,104
93,150,82	216,130,31	220,183,103	68,80,96
88,147,79	219,130,30	250,210,123	70,79,96
88,148,78	218,128,31	243,208,118	75,81,93
80,141,72	217,124,31	191,165,78	94,96,108
82,148,61	255,154,37	215,198,126	100,98,109
72,139,59	255,160,37	250,228,152	99,98,106
75,142,63	255,168,42	252,229,151	91,91,99
75,140,58	255,168,39	248,229,153	95,98,107
81,146,62	254,171,33	241,225,150	84,93,102
83,145,59	255,160,45	253,227,150	113,108,115
73,136,57	252,163,37	245,220,138	114,109,113
75,137,60	255,170,44	247,224,144	125,123,126
67,130,51	254,169,42	244,225,148	137,136,141
67,132,48	255,173,37	245,227,155	110,119,118
79,137,50	255,167,44	244,225,146	116,114,117
74,131,52	252,171,38	241,224,146	114,110,109
68,126,50	254,176,42	240,221,145	136,136,134
58,119,42	252,173,44	244,222,149	142,147,143
60,125,45	255,179,41	251,227,157	105,112,104
74,130,43	254,169,42	246,224,149	120,110,111
72,126,48	253,175,39	251,227,155	130,120,118
59,113,38	253,177,40	246,219,150	160,155,151
57,113,38	253,176,44	244,215,149	131,130,126
62,124,47	255,180,42	248,218,154	98,104,94
62,115,27	253,169,45	244,221,153	125,110,113
63,114,37	255,173,38	246,218,153	142,128,127
57,108,39	255,176,41	246,214,153	178,170,167
57,113,42	255,177,46	239,207,148	136,132,129
65,123,46	253,178,37	226,200,141	87,92,86
83,141,80			100,98,109
77,135,76			99,98,106
80,135,77			91,91,99
84,138,80			95,98,107
90,141,84			84,93,102
82,142,80			113,108,115
78,138,78			114,109,113
75,135,75			125,123,126
76,134,73			137,136,141
90,145,87			110,119,118
87,141,79			116,114,117
80,136,75			114,110,109
79,137,79			136,136,134
76,134,76			142,147,143
80,133,79			105,112,104
90,146,83			120,110,111
81,139,80			130,120,118
77,135,77			160,155,151
77,132,75			131,130,126
83,132,77			98,104,94
87,147,85			125,110,113
79,139,79			142,128,127
79,137,79			178,170,167
81,134,78			136,132,129
82,129,75			87,92,86
77,123,76			47,60,79
71,118,74			44,57,74
64,112,72			41,54,71
59,109,72			39,52,69
59,114,72			38,51,68
81,123,75			49,62,78
79,121,75			52,64,80
71,114,71			51,63,79
66,111,72			47,58,76
68,113,74			45,56,74
82,129,75			42,58,74
81,126,71			52,65,81
71,118,66			56,68,84
69,115,68			56,67,85
69,116,70			59,67,88
84,135,79			32,49,67
80,131,74			38,54,70
71,121,68			42,55,74
67,119,70			46,57,77
71,123,74			51,62,84
85,135,84			29,47,67
82,132,79			31,49,69
72,124,75			33,48,69
71,124,78			37,49,71
73,125,77			42,52,77
79,140,80			
81,141,81			
82,140,81			
83,138,80			
87,138,81			
83,143,79			
83,142,78			
85,141,78			
84,140,79			
89,136,82			
84,143,77			
84,140,75			
84,140,75			
87,141,81			
90,137,85			
85,141,76			
82,138,73			
82,136,74			
84,138,78			
88,136,84			
83,137,79			
81,135,75			
79,133,75			
79,132,76			
83,136,82			
