#fondo
40,53,62	42,52,62	40,53,61
42,52,61	42,52,61	42,52,61
39,52,60	40,50,59	41,51,60
159,174,177	90,104,107	61,70,75
161,181,182	133,148,153	74,85,89
134,155,156	159,177,179	104,115,119
68,81,90	62,75,84	53,67,76
67,77,89	57,67,79	48,60,72
66,72,88	57,64,80	51,60,75
41,65,93	43,64,91	46,63,91
41,65,93	44,65,92	45,65,92
43,64,93	44,65,94	44,64,91
122,119,128	112,107,113	108,102,106
143,131,135	151,136,139	148,130,130
165,146,148	160,140,141	152,128,128
30,39,44	32,41,46	31,40,45
31,38,46	34,41,47	31,41,43
32,39,45	35,43,46	34,44,46
34,54,78	34,55,76	35,56,75
35,56,77	36,57,76	37,58,77
37,58,79	36,57,78	37,55,75
51,62,58	47,57,56	45,55,56
44,50,50	49,54,50	56,58,53
51,51,51	58,54,55	63,57,59
39,57,61	40,55,60	39,54,61
40,58,62	38,56,60	40,55,60
42,57,60	37,55,57	39,54,57
29,43,46	30,43,49	28,43,46
31,42,46	32,43,47	29,43,46
34,44,46	33,42,47	35,42,48
128,131,122	157,164,157	126,135,130
120,121,116	112,114,111	102,106,107
115,111,112	101,100,105	91,91,99
#planta
149,218,135	120,192,110	85,158,77
151,214,135	122,189,110	92,160,83
149,211,134	123,187,111	102,169,92
65,103,62	67,102,60	66,98,57
64,100,62	64,99,59	62,97,55
64,95,61	60,95,55	58,95,54
71,109,72	66,106,69	60,102,64
67,105,68	68,106,69	69,107,70
62,106,70	66,106,71	65,103,64
74,124,55	73,128,60	76,131,66
68,119,52	65,124,56	71,127,64
65,116,41	68,123,56	69,124,57
124,182,132	130,188,138	130,188,138
124,184,130	126,186,132	126,185,131
118,179,122	120,181,124	120,179,121
49,66,56	50,62,58	47,62,57
50,69,65	50,68,56	53,70,60
56,79,61	49,72,54	46,68,55
60,99,81	60,101,83	71,114,95
67,109,89	70,112,92	69,113,90
69,112,84	72,115,87	74,119,88
60,99,81	60,101,83	71,114,95
67,109,89	70,112,92	69,113,90
69,112,84	72,115,87	74,119,88
140,181,105	134,176,102	128,170,98
128,168,97	128,172,97	127,175,101
116,155,98	126,172,108	119,170,103
70,136,46	81,150,57	97,167,69
81,134,54	83,147,53	92,159,66
89,136,66	78,136,51	87,151,65
72,139,34	83,145,36	109,167,57
80,145,43	94,155,51	113,170,65
114,172,72	111,168,65	105,162,59
85,125,62	94,125,65	100,130,70
77,122,55	85,123,62	83,118,60
67,116,51	71,112,56	74,113,60
#flor
239,168,60	239,162,56	235,157,49
236,168,59	235,161,54	232,155,47
231,167,57	232,164,55	230,159,51
252,142,27	254,151,32	254,155,35
252,145,29	255,152,33	255,155,35
255,154,36	255,155,37	254,154,34
223,156,49	222,160,51	223,162,55
216,153,47	215,152,46	217,156,49
215,152,46	210,147,42	214,151,46
202,126,40	211,137,42	226,152,53
212,128,32	219,136,34	226,145,38
203,124,29	212,132,33	224,143,36
233,129,14	237,131,21	239,129,18
233,132,18	235,133,22	236,130,21
240,132,21	238,132,22	241,135,26
235,145,48	234,144,47	236,146,49
226,136,40	228,138,41	223,133,37
212,118,44	210,117,40	210,118,41
250,193,88	248,189,87	246,187,85
247,190,87	247,190,87	246,189,84
245,191,85	248,191,86	246,192,84
216,110,36	218,115,36	223,123,38
226,120,42	231,131,43	224,130,34
229,121,46	228,126,42	230,132,41
235,139,36	230,134,32	225,131,31
235,137,38	224,138,37	218,136,34
232,138,38	225,136,34	222,133,33
208,157,50	224,170,62	235,177,69
209,157,48	225,171,62	232,172,60
209,155,49	227,169,61	231,169,56
233,135,24	234,135,16	236,143,22
235,145,22	234,146,22	239,151,28
239,148,33	238,151,20	242,156,19
249,194,75	250,198,76	247,198,77
250,193,77	250,194,73	248,195,81
248,190,67	252,194,71	246,189,73
247,135,35	250,139,32	249,137,27
222,110,10	244,127,21	254,134,24
217,104,8	231,111,0	246,128,20
235,176,60	233,172,55	235,178,65
235,175,61	233,172,55	229,169,57
233,173,63	226,170,57	230,173,66
250,190,92	252,196,101	212,171,83
251,190,83	252,196,87	237,188,86
248,186,73	252,193,77	246,189,82
199,121,12	188,111,5	185,112,7
186,112,7	174,105,4	172,107,7
164,95,0	156,91,1	156,95,12
246,202,79	251,200,75	249,201,75
247,200,82	249,205,80	247,204,76
251,204,86	241,206,78	247,208,81
234,184,71	231,186,69	239,192,76
225,183,65	231,183,72	233,183,72
238,187,72	231,180,65	231,179,67
238,195,116	237,194,102	238,194,95
236,192,97	233,192,87	234,193,87
240,192,92	237,193,88	234,190,83
164,95,4	157,89,4	169,99,14
150,80,0	153,87,11	163,94,19
134,72,0	135,75,3	143,78,10
226,186,91	238,195,100	225,187,86
237,195,87	231,188,83	233,186,80
236,186,73	234,188,76	233,188,69
247,209,102	248,205,92	246,203,88
251,207,98	247,202,83	246,202,81
247,205,97	250,202,91	252,200,90
192,182,87	213,190,94	212,180,79
228,199,99	226,187,84	228,181,77
229,182,76	227,170,63	234,176,69
176,156,83	213,186,97	217,183,86
204,164,79	221,178,84	221,177,78
205,155,66	221,172,79	221,175,77
226,201,100	248,201,95	245,201,92
244,203,87	240,198,86	240,198,86
242,203,76	243,204,87	241,200,82
203,154,49	218,155,49	214,158,49
193,160,55	207,159,51	215,159,48
169,162,56	194,163,57	215,171,64
239,182,79	235,177,70	236,174,71
235,186,83	235,178,71	234,172,71
220,186,96	227,187,91	219,175,80
150,146,59	184,160,72	211,174,83
213,190,94	212,180,79	230,192,85
226,187,84	228,181,77	234,183,74
216,180,83	208,175,78	192,177,82
222,177,74	215,178,72	194,175,72
214,173,68	206,174,65	186,172,67
239,192,86	243,190,76	249,191,81
223,183,95	245,193,92	248,193,90
177,152,85	231,191,106	247,198,105
#florsenscente
240,212,113	240,216,116	237,215,114
242,213,113	245,216,114	242,218,112
249,216,113	249,216,111	248,217,109
244,206,61	241,204,63	246,208,71
238,202,52	244,206,61	243,203,69
242,199,58	246,200,63	247,202,73
214,179,85	211,176,84	207,173,84
212,177,85	209,174,84	209,174,84
206,172,82	210,176,87	209,172,81
244,213,97	233,203,83	227,200,85
245,214,98	236,204,85	230,199,82
246,215,99	244,212,93	231,199,78
231,209,64	215,186,46	220,188,51
232,213,72	223,198,56	219,190,52
241,228,87	234,215,76	232,209,71
216,180,83	226,186,75	223,180,75
213,178,86	218,179,76	223,177,79
