fondo	planta	flor	florsenscente
40,53,62	149,218,135	239,168,60	240,212,113
42,52,62	120,192,110	239,162,56	240,216,116
40,53,61	85,158,77	235,157,49	237,215,114
42,52,61	151,214,135	236,168,59	242,213,113
42,52,61	122,189,110	235,161,54	245,216,114
42,52,61	92,160,83	232,155,47	242,218,112
39,52,60	149,211,134	231,167,57	249,216,113
40,50,59	123,187,111	232,164,55	249,216,111
41,51,60	102,169,92	230,159,51	248,217,109
159,174,177	65,103,62	252,142,27	244,206,61
90,104,107	67,102,60	254,151,32	241,204,63
61,70,75	66,98,57	254,155,35	246,208,71
161,181,182	64,100,62	252,145,29	238,202,52
133,148,153	64,99,59	255,152,33	244,206,61
74,85,89	62,97,55	255,155,35	243,203,69
134,155,156	64,95,61	255,154,36	242,199,58
159,177,179	60,95,55	255,155,37	246,200,63
104,115,119	58,95,54	254,154,34	247,202,73
68,81,90	71,109,72	223,156,49	214,179,85
62,75,84	66,106,69	222,160,51	211,176,84
53,67,76	60,102,64	223,162,55	207,173,84
67,77,89	67,105,68	216,153,47	212,177,85
57,67,79	68,106,69	215,152,46	209,174,84
48,60,72	69,107,70	217,156,49	209,174,84
66,72,88	62,106,70	215,152,46	206,172,82
57,64,80	66,106,71	210,147,42	210,176,87
51,60,75	65,103,64	214,151,46	209,172,81
41,65,93	74,124,55	202,126,40	244,213,97
43,64,91	73,128,60	211,137,42	233,203,83
46,63,91	76,131,66	226,152,53	227,200,85
41,65,93	68,119,52	212,128,32	245,214,98
44,65,92	65,124,56	219,136,34	236,204,85
45,65,92	71,127,64	226,145,38	230,199,82
43,64,93	65,116,41	203,124,29	246,215,99
44,65,94	68,123,56	212,132,33	244,212,93
44,64,91	69,124,57	224,143,36	231,199,78
122,119,128	124,182,132	233,129,14	231,209,64
112,107,113	130,188,138	237,131,21	215,186,46
108,102,106	130,188,138	239,129,18	220,188,51
143,131,135	124,184,130	233,132,18	232,213,72
151,136,139	126,186,132	235,133,22	223,198,56
148,130,130	126,185,131	236,130,21	219,190,52
165,146,148	118,179,122	240,132,21	241,228,87
160,140,141	120,181,124	238,132,22	234,215,76
152,128,128	120,179,121	241,135,26	232,209,71
30,39,44	49,66,56	235,145,48	216,180,83
32,41,46	50,62,58	234,144,47	226,186,75
31,40,45	47,62,57	236,146,49	223,180,75
31,38,46	50,69,65	226,136,40	213,178,86
34,41,47	50,68,56	228,138,41	218,179,76
31,41,43	53,70,60	223,133,37	223,177,79
32,39,45	56,79,61	212,118,44	210,174,86
35,43,46	49,72,54	210,117,40	222,187,87
34,44,46	46,68,55	210,118,41	221,182,81
34,54,78	60,99,81	250,193,88	240,221,145
34,55,76	60,101,83	248,189,87	244,222,149
35,56,75	71,114,95	246,187,85	251,227,157
35,56,77	67,109,89	247,190,87	246,219,150
36,57,76	70,112,92	247,190,87	244,215,149
37,58,77	69,113,90	246,189,84	248,218,154
37,58,79	69,112,84	245,191,85	246,214,153
36,57,78	72,115,87	248,191,86	239,207,148
37,55,75	74,119,88	246,192,84	226,200,141
51,62,58	60,99,81	216,110,36	197,182,81
47,57,56	60,101,83	218,115,36	206,191,90
45,55,56	71,114,95	223,123,38	199,185,86
44,50,50	67,109,89	226,120,42	206,190,94
49,54,50	70,112,92	231,131,43	201,187,90
56,58,53	69,113,90	224,130,34	204,190,93
51,51,51	69,112,84	229,121,46	166,160,82
58,54,55	72,115,87	228,126,42	174,168,84
63,57,59	74,119,88	230,132,41	186,176,91
39,57,61	140,181,105	235,139,36	220,229,104
40,55,60	134,176,102	230,134,32	228,229,102
39,54,61	128,170,98	225,131,31	234,229,101
40,58,62	128,168,97	235,137,38	221,230,101
38,56,60	128,172,97	224,138,37	230,231,101
40,55,60	127,175,101	218,136,34	236,234,99
42,57,60	116,155,98	232,138,38	222,228,106
37,55,57	126,172,108	225,136,34	234,234,110
39,54,57	119,170,103	222,133,33	237,234,103
29,43,46	70,136,46	208,157,50	209,190,52
30,43,49	81,150,57	224,170,62	218,198,63
28,43,46	97,167,69	235,177,69	228,205,73
31,42,46	81,134,54	209,157,48	206,187,48
32,43,47	83,147,53	225,171,62	212,193,55
29,43,46	92,159,66	232,172,60	221,197,63
34,44,46	89,136,66	209,155,49	213,191,46
33,42,47	78,136,51	227,169,61	213,190,52
35,42,48	87,151,65	231,169,56	224,197,66
128,131,122	72,139,34	233,135,24	238,212,125
157,164,157	83,145,36	234,135,16	238,211,122
126,135,130	109,167,57	236,143,22	235,205,115
120,121,116	80,145,43	235,145,22	242,213,121
112,114,111	94,155,51	234,146,22	229,207,108
102,106,107	113,170,65	239,151,28	232,208,108
115,111,112	114,172,72	239,148,33	237,206,113
101,100,105	111,168,65	238,151,20	227,210,102
91,91,99	105,162,59	242,156,19	226,208,100
	85,125,62	249,194,75	218,192,135
	94,125,65	250,198,76	224,196,133
	100,130,70	247,198,77	222,198,126
	77,122,55	250,193,77	222,190,115
	85,123,62	250,194,73	243,208,127
	83,118,60	248,195,81	225,194,112
	67,116,51	248,190,67	246,210,122
	71,112,56	252,194,71	239,203,115
	74,113,60	246,189,73	175,149,65
		247,135,35	185,180,122
		250,139,32	186,184,123
		249,137,27	179,177,116
		222,110,10	183,177,119
		244,127,21	178,173,117
		254,134,24	184,185,128
		217,104,8	155,153,105
		231,111,0	147,146,98
		246,128,20	142,144,95
		235,176,60	239,215,83
		233,172,55	246,223,93
		235,178,65	252,227,100
		235,175,61	238,206,71
		233,172,55	242,216,79
		229,169,57	240,216,82
		233,173,63	224,203,76
		226,170,57	208,192,70
		230,173,66	180,169,53
		250,190,92	
		252,196,101	
		212,171,83	
		251,190,83	
		252,196,87	
		237,188,86	
		248,186,73	
		252,193,77	
		246,189,82	
		199,121,12	
		188,111,5	
		185,112,7	
		186,112,7	
		174,105,4	
		172,107,7	
		164,95,0	
		156,91,1	
		156,95,12	
		246,202,79	
		251,200,75	
		249,201,75	
		247,200,82	
		249,205,80	
		247,204,76	
		251,204,86	
		241,206,78	
		247,208,81	
		234,184,71	
		231,186,69	
		239,192,76	
		225,183,65	
		231,183,72	
		233,183,72	
		238,187,72	
		231,180,65	
		231,179,67	
		238,195,116	
		237,194,102	
		238,194,95	
		236,192,97	
		233,192,87	
		234,193,87	
		240,192,92	
		237,193,88	
		234,190,83	
		164,95,4	
		157,89,4	
		169,99,14	
		150,80,0	
		153,87,11	
		163,94,19	
		134,72,0	
		135,75,3	
		143,78,10	
		226,186,91	
		238,195,100	
		225,187,86	
		237,195,87	
		231,188,83	
		233,186,80	
		236,186,73	
		234,188,76	
		233,188,69	
		247,209,102	
		248,205,92	
		246,203,88	
		251,207,98	
		247,202,83	
		246,202,81	
		247,205,97	
		250,202,91	
		252,200,90	
		192,182,87	
		213,190,94	
		212,180,79	
		228,199,99	
		226,187,84	
		228,181,77	
		229,182,76	
		227,170,63	
		234,176,69	
		176,156,83	
		213,186,97	
		217,183,86	
		204,164,79	
		221,178,84	
		221,177,78	
		205,155,66	
		221,172,79	
		221,175,77	
		226,201,100	
		248,201,95	
		245,201,92	
		244,203,87	
		240,198,86	
		240,198,86	
		242,203,76	
		243,204,87	
		241,200,82	
		203,154,49	
		218,155,49	
		214,158,49	
		193,160,55	
		207,159,51	
		215,159,48	
		169,162,56	
		194,163,57	
		215,171,64	
		239,182,79	
		235,177,70	
		236,174,71	
		235,186,83	
		235,178,71	
		234,172,71	
		220,186,96	
		227,187,91	
		219,175,80	
		150,146,59	
		184,160,72	
		211,174,83	
		213,190,94	
		212,180,79	
		230,192,85	
		226,187,84	
		228,181,77	
		234,183,74	
		216,180,83	
		208,175,78	
		192,177,82	
		222,177,74	
		215,178,72	
		194,175,72	
		214,173,68	
		206,174,65	
		186,172,67	
		239,192,86	
		243,190,76	
		249,191,81	
		223,183,95	
		245,193,92	
		248,193,90	
		177,152,85	
		231,191,106	
		247,198,105	
