#clorosos	#planta	#fondo
"135,103,178"	"132,118,0"	"50,138,152"
"134,102,177"	"131,116,0"	"48,136,150"
"135,101,177"	"132,116,3"	"49,137,151"
"139,100,179"	"132,116,5"	"48,137,151"
"142,101,180"	"125,101,3"	"47,136,150"
"141,96,177"	"127,101,4"	"47,137,148"
"140,95,176"	"128,100,3"	"48,138,149"
"140,95,178"	"128,98,2"	"49,137,149"
"137,95,177"	"131,98,3"	"48,136,148"
"80,116,164"	"120,101,0"	"48,136,146"
"83,115,166"	"119,101,1"	"51,139,149"
"84,114,168"	"119,101,3"	"50,138,148"
"86,113,168"	"116,97,2"	"49,137,147"
"81,112,166"	"118,97,4"	"47,135,145"
"59,136,156"	"119,96,3"	"50,138,150"
"63,138,159"	"120,95,3"	"46,133,150"
"60,135,158"	"122,95,4"	"45,133,147"
"61,133,157"	"126,95,5"	"48,135,152"
"63,135,159"	"129,93,5"	"48,134,151"
"131,103,177"	"130,93,5"	"48,130,151"
"130,102,176"	"133,91,5"	"49,129,152"
"132,102,176"	"134,89,4"	"51,128,154"
"135,101,178"	"133,89,2"	"52,128,154"
"139,98,177"	"135,89,3"	"54,129,158"
"140,97,177"	"135,89,1"	"53,128,157"
"142,94,178"	"136,90,2"	"52,126,155"
"79,117,164"	"137,91,3"	"58,129,157"
"82,114,165"	"138,91,3"	"58,127,156"
"83,113,167"	"142,90,4"	"58,127,158"
"87,113,170"	"141,89,3"	"57,126,157"
"82,111,167"	"133,94,3"	"64,77,122"
"57,132,153"	"131,94,3"	"65,78,123"
"62,134,158"	"129,94,2"	"65,76,122"
"65,137,161"	"127,93,3"	"64,75,121"
"67,137,162"	"125,94,3"	"68,76,123"
"130,104,177"	"125,94,4"	"66,76,125"
"129,103,176"	"127,93,4"	"63,75,123"
"134,102,178"	"128,92,4"	"62,74,122"
"137,100,178"	"132,92,5"	"64,74,123"
"138,99,178"	"136,92,5"	"63,73,122"
"139,96,176"	"138,90,5"	"66,74,121"
"144,95,177"	"141,89,5"	"65,73,120"
"142,95,176"	"144,88,5"	"55,106,169"
"76,116,165"	"145,87,5"	"54,105,168"
"82,115,168"	"145,87,3"	"53,104,167"
"80,110,164"	"144,88,3"	"53,107,167"
"83,109,166"	"130,113,0"	"52,107,164"
"84,110,167"	"134,114,2"	"51,106,163"
"65,137,159"	"134,113,6"	"50,104,164"
"59,131,153"	"133,114,11"	"52,106,166"
"61,131,156"	"129,115,10"	"54,106,166"
"127,105,177"	"129,101,4"	"54,104,165"
"126,104,176"	"129,99,3"	"56,104,166"
"127,104,176"	"123,99,3"	"55,103,165"
"130,102,177"	"121,99,0"	"55,141,164"
"133,101,177"	"122,100,0"	"53,139,162"
"137,98,177"	"119,99,4"	"57,143,166"
"138,97,176"	"120,97,4"	"54,140,163"
"143,94,176"	"121,94,3"	"51,137,160"
"75,118,163"	"128,94,5"	"55,142,162"
"77,113,163"	"129,92,4"	"52,139,159"
"81,111,165"	"133,92,4"	"51,137,162"
"85,110,167"	"134,90,3"	"52,138,163"
"87,109,167"	"134,88,2"	"49,137,161"
"63,135,157"	"135,87,2"	"51,139,163"
"64,134,159"	"143,89,3"	"48,138,162"
"127,107,178"	"143,88,5"	"49,139,163"
"126,106,177"	"135,94,2"	"57,141,165"
"128,105,177"	"134,95,4"	"60,142,166"
"131,103,178"	"125,96,4"	"59,141,165"
"134,103,179"	"126,97,5"	"59,139,164"
"135,103,179"	"125,95,5"	"62,144,168"
"136,99,177"	"124,94,4"	"60,144,168"
"143,96,177"	"124,93,3"	"56,142,165"
"73,117,162"	"126,92,3"	"52,138,161"
"81,117,167"	"146,88,6"	"53,141,163"
"87,109,166"	"148,87,6"	"54,142,164"
"91,110,168"	"148,87,4"	"55,143,165"
"64,136,158"	"137,103,5"	"55,139,163"
"125,108,178"	"136,103,6"	"59,143,167"
"128,106,178"	"134,104,6"	"58,143,164"
"131,105,178"	"131,96,2"	"51,137,152"
"132,104,179"	"127,98,6"	"52,138,153"
"134,100,177"	"125,100,8"	"50,136,151"
"136,97,176"	"123,98,5"	"49,135,150"
"62,125,160"	"122,99,3"	"47,136,152"
"59,125,159"	"122,97,4"	"47,134,151"
"56,125,156"	"122,96,3"	"49,135,152"
"54,128,155"	"124,95,3"	"50,136,153"
"53,131,154"	"126,95,4"	"48,125,151"
"132,111,178"	"128,94,4"	"47,124,150"
"135,110,178"	"129,92,3"	"48,124,150"
"134,107,178"	"134,86,1"	"46,122,148"
"133,106,177"	"136,88,3"	"51,125,152"
"125,108,176"	"136,90,4"	"49,123,150"
"128,108,177"	"137,90,2"	"50,124,151"
"129,107,179"	"141,90,1"	"51,122,150"
"129,106,178"	"143,87,0"	"51,122,152"
"132,106,179"	"127,94,1"	"50,121,151"
"132,101,177"	"125,94,1"	"47,121,150"
"66,124,161"	"123,93,3"	"46,121,150"
"60,125,157"	"128,91,3"	"63,74,120"
"57,126,157"	"132,91,3"	"62,73,119"
"133,107,180"	"145,89,6"	"67,75,124"
"130,107,179"	"147,89,7"	"68,74,124"
"129,105,179"	"146,88,4"	"66,72,122"
"138,101,179"	"135,102,5"	"67,73,123"
"126,109,177"	"134,101,4"	"67,73,121"
"129,109,178"	"130,97,2"	"68,74,122"
"130,109,178"	"124,98,3"	"66,72,120"
"131,105,179"	"123,97,2"	"69,73,121"
"130,104,178"	"126,97,3"	"55,105,168"
"140,99,178"	"127,96,3"	"58,106,168"
"142,97,178"	"135,94,6"	"59,105,165"
"69,124,163"	"137,89,4"	"56,105,164"
"66,124,162"	"140,88,4"	"57,106,165"
"64,124,160"	"138,95,1"	"58,107,166"
"141,100,179"	"134,93,3"	"56,106,165"
"140,75,177"	"133,93,5"	"56,108,166"
"140,78,177"	"122,92,4"	"55,107,165"
"140,83,178"	"123,93,5"	"61,146,166"
"139,84,178"	"119,95,0"	"61,143,164"
"129,110,176"	"121,97,1"	"59,141,162"
"131,110,179"	"123,94,2"	"56,141,161"
"131,108,178"	"129,94,4"	"59,144,164"
"141,98,178"	"131,89,3"	"58,143,163"
"70,123,163"	"137,89,5"	"55,140,160"
"63,123,159"	"139,89,4"	"57,142,162"
"59,123,158"	"140,90,5"	"56,143,162"
"138,84,178"	"128,111,0"	"56,141,162"
"151,81,167"	"136,114,5"	"57,142,163"
"151,77,152"	"137,115,6"	"57,144,164"
"158,80,156"	"135,114,5"	"56,144,166"
"149,87,164"	"129,96,3"	"49,140,161"
"131,110,177"	"125,100,7"	"56,140,164"
"132,109,177"	"122,99,5"	"52,136,160"
"133,107,178"	"121,98,4"	"52,140,162"
"134,106,180"	"121,96,3"	"57,145,167"
"133,102,178"	"120,95,2"	"54,138,162"
"72,124,163"	"121,95,2"	"55,140,161"
"71,123,162"	"143,89,1"	"53,139,152"
"69,122,162"	"144,88,1"	"54,140,153"
"64,122,160"	"123,98,6"	"54,137,151"
"60,122,159"	"126,95,2"	"55,138,152"
"153,88,146"	"128,95,0"	"55,138,154"
"156,85,153"	"127,98,4"	"54,137,153"
"134,64,92"	"125,99,4"	"53,136,152"
"141,67,100"	"125,96,2"	"51,134,150"
"150,91,147"	"132,95,6"	"51,137,154"
"158,74,172"	"135,88,6"	"53,136,154"
"154,79,184"	"133,97,0"	"54,137,155"
"146,78,181"	"137,94,0"	"52,135,153"
"148,82,179"	"136,93,1"	"52,138,155"
"147,82,176"	"129,92,1"	"50,127,147"
"149,84,178"	"119,94,10"	"49,126,146"
"146,82,178"	"117,95,10"	"50,125,146"
"162,97,177"	"119,94,2"	"49,124,145"
"167,94,175"	"120,97,3"	"48,123,144"
"170,90,175"	"123,97,4"	"46,121,142"
"173,87,174"	"131,90,2"	"47,122,143"
"175,91,179"	"128,97,6"	"47,122,145"
"166,92,181"	"122,98,2"	"48,123,146"
"165,92,147"	"131,94,5"	"50,122,146"
"133,89,176"	"132,92,4"	"48,119,141"
"137,84,176"	"136,87,8"	"50,121,143"
"132,86,176"	"136,87,10"	"51,121,146"
"92,66,111"	"135,99,2"	"49,119,144"
"94,71,113"	"136,96,1"	"64,75,120"
"109,86,158"	"133,93,0"	"63,74,119"
